,Question,Answer
1598,i would if i could find someone who makes strong pockets.,try a google search online.
1599,you use them to wipe the handle of the shopping cart.,that's a great idea.
1600,"yes, all the markets just started offering wipes to shoppers.",i'm going to take five wipes.
1601,what do you need five of them for?,"one to wipe the handle, and the others to wipe the produce."
1602,what's the matter with the produce?,do you think the bananas fell from the sky?
1603,what do you mean?,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges."
1604,"well, you better save a wipe for the dirty dollar bills you're going to pay with.","yes, i did."
1605,what did you buy?,"well, i got a lot of good deals, as usual."
1606,like what?,"well, a dozen large eggs were only 99 cents."
1607,that's a good deal.,and a one-pound tub of soft butter was the same price.
1608,another good deal.,but the best deal was five pounds of potatoes for 99 cents.
1609,i don't know how that store makes money.,"neither do i, but they're doing something right."
1610,what's the matter with yours?,it's six years old.
1611,that's pretty old.,"it still works, but i'm going to give it to a charity."
1612,are you going to buy a desktop or laptop?,"oh, a laptop, of course."
1613,a pc or a mac?,i haven't decided yet.
1614,more and more people are using macs.,but 90 percent of the world uses pcs.
1615,and that's not going to change anytime soon.,what happened?
1616,"i had a car problem, so i went online.",did you find a solution?
1617,"yes, i did. a site i went to said they would send me the solution.","so, what's the problem?"
1618,"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?
1619,i sent them an email asking for my money back.,have you heard from them?
1620,not yet. it's been a week.,"well, i guess that's a $20 lesson for you."
1621,which one?,any one. i need to sharpen this pencil.
1622,i think there's one on the dining room table.,i already looked there.
1623,did you look in the desk drawer?,"yes, i looked there, too."
1624,don't we have about five sharpeners?,"yes, but they seem to have legs."
1625,tomorrow i'm going to buy an electric sharpener.,get one with the rubber suction cups on the bottom.
1626,yes. that way it will stay where i put it.,how are you doing that?
1627,i started shopping at the dollar store.,that saves a lot of money.
1628,i bought three pounds of potatoes for a dollar.,that's a good deal.
1629,"yes, even though some of the potatoes had eyes.",just put them in the fridge.
1630,"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?
1631,i mixed them together.,"if the coffee still tastes okay, that's a good idea."
1632,can we afford it?,they want 20 percent down.
1633,that's a lot of money.,but the house is so nice.
1634,it's in a great neighborhood.,it's close to the beach.
1635,it's close to the freeways.,it's got a big yard.
1636,"the kids love the house, too.","if we don't buy it, someone else will."
1637,you're right. let's buy it now. we can worry later.,are you sure?
1638,"we will be house rich, but cash poor.",what do you mean?
1639,our monthly payments will be too high.,we won't have any money for other things?
1640,"no, we won't have money for gas or food.",we'll be eating peanut butter sandwiches?
1641,without the peanut butter!,that's no good!
1642,we have to find a cheaper house.,of course. we can't live without gas or peanut butter.
1643,i don't like it.,what's the matter with it?
1644,it's on the corner.,so?
1645,that means it gets twice as much traffic.,you're right.
1646,"when you're inside, you will always hear cars stopping and stopping at the intersection.",or you'll hear the collision if someone doesn't stop.
1647,or you'll see the collision if they crash into the house.,let's find a house that's at the end of a dead end.
1648,"that's perfect. the less traffic, the better.","me, too."
1649,we have a 2 o'clock appointment to see the one on main street.,we'd better get ready to go.
1650,it's an upstairs unit.,"that's good, because i don't want to live under people with loud feet."
1651,and it's a corner unit.,that's great. we won't have neighbors on both sides of us.
1652,no pets are allowed.,perfect. we don't have to listen to barking dogs.
1653,and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.
1654,yes. he said he'd come over tomorrow.,did he say what time?
1655,yes. he said he'd be here at 9 o'clock.,did he understand what the problem is?
1656,yes. i told him our doorbell doesn't work.,it shouldn't take him long to fix it.
1657,i don't even know why we need to fix it.,in case we have visitors.
1658,but they can just knock on the door.,"actually, i want him to look at our carpet, too."
1659,"yes, it would be nice if he'd give us a new carpet.","yes, it's beautiful."
1660,it's perfect for us and the kids.,"three bedrooms, three bathrooms, and a big back yard."
1661,and we can afford it!,so are we going to buy it?
1662,i'm afraid not.,"it's too far from your job, isn't it?"
1663,i can't spend four hours on the road every day.,"by the time you get home, you'll be too tired to even eat."
1664,i won't be able to play with the kids.,"no, we have to find something closer to your job."
1665,it sure is.,"in fact, it's chilly in the apartment, too."
1666,let's turn on the heat.,i'll check to make sure that all the windows are shut.
1667,it should be warmer in a few minutes.,it's so nice to have a heated apartment.
1668,how did they survive in the old days?,they had fireplaces.
1669,someone had to chop the wood.,and carry it into the house.
1670,all we have to do is flip a switch.,the streets are clean and quiet.
1671,the neighbors don't party on the weekends.,people take care of their lawns.
1672,no rusty old cars are sitting in the front yards.,we never have to call the police about anything.
1673,our kids are completely safe.,so why are we selling our house?
1674,they're building a 3-story apartment building on the corner.,so we've got to sell before property values go down?
1675,yes. i still can't believe our city council allowed this building.,they're probably getting something under the table.
1676,"yes, it was.",they said about 30 houses burned to the ground.
1677,and they were expensive houses.,i feel so sorry for those people.
1678,why feel sorry for rich people?,i feel sorry for anyone who loses their home.
1679,"so do i, but not if they're rich.",what does that have to do with it?
1680,rich people think they're better than us.,how many rich people do you know?
1681,none.,of course they are. they're starving to death.
1682,they should stay in the woods where they belong.,there's no food in the woods.
1683,can't they eat grass?,do you think a bear is a cow?
1684,"well, i've seen them eating berries.",berries aren't in season all year round.
1685,it's too dangerous for kids and pets.,people need to cover their trash cans.
1686,the police need to shoot all the bears.,you don't solve a problem by shooting it.
1687,i voted for obama.,me too.
1688,he will be a great president.,everyone likes him.
1689,he's a good speaker.,and he's really smart.
1690,he will solve our problems.,he will end the war.
1691,the next four years will be good years.,"i'll vote for him next time, too."
1692,i think everyone will.,who are you voting for?
1693,i'm not voting for the mayor.,why not?
1694,he made promises that he didn't keep.,like what?
1695,"he promised to hire 1,000 more police officers.",how many did he hire?
1696,one hundred!,maybe he had a good reason.
1697,maybe he's just a liar.,"maybe i'll vote for someone else, too."
1698,only 15 percent of the voters turned out.,that is a joke.
1699,"voting is so important, but people don't bother.",many people think their vote doesn't matter.
1700,"the mayor won by only 2,000 votes.",we're stuck with him for four more years.
1701,voting is so easy. you can even mail your ballot in.,all you have to do is vote and put a stamp on it.
1702,how easy is that?,i guess people just don't care.
1703,they'll care when they see their taxes go up.,but we have the same old problems.
1704,"well, he's made a few changes.",like what?
1705,i think he closed the bowling alley in the white house.,"oh, yeah. he's changing it to a basketball court."
1706,who's paying for that?,i think we are!
1707,"well, that's okay, as long as it helps him relax and think more clearly.","yes, we need a relaxed president who thinks clearly."
1708,do any other world leaders have a basketball court?,they will. you know america always leads the way.
1709,"well, more than 50 million people voted for mccain.",that's 50 million people who don't love obama.
1710,obama's got four years to make everyone happy.,he's never going to make everyone happy.
1711,can you imagine being president?,everyone wants you to solve their problems.
1712,i have enough stress from trying to solve my own problems.,you and everybody else.
1713,i would never want to be president.,but think about all the power you'd have.
1714,i prefer my quiet little life to all the power in the world.,what article?
1715,it says the mayor spends only 11 percent of his time on city duties.,only 11 percent?
1716,about 50 percent of the time he's traveling.,where does he travel to?
1717,"oh, all over the world.",but he's supposed to be making our city a better place.
1718,he's visiting other cities to get ideas.,can't he just go online?
1719,the rest of the time he's raising money for his reelection.,"well, he'll never get reelected once this news gets out."
1720,i voted for ralph nader.,who in the world is ralph nader?
1721,he's the best man for president.,why's that?
1722,he hates corporations.,"well, most corporations do think only about money."
1723,he hates democrats and republicans.,"well, they do put their party before their country."
1724,he's the only candidate that i trust.,but he didn't have a chance. nobody voted for him!
1725,"sooner or later, voters will wake up.",why's that?
1726,what good does it do?,you get to put someone in power that you like.
1727,only if my candidate wins.,"well, he can't win unless you and others vote for him."
1728,"but even if my candidate wins, he'll break his promises.",that's true. they promise anything just so they get elected.
1729,"and when elected, they go their own way.",they forget who put them in power.
1730,they forget where they came from.,maybe you should run for office.
1731,what do you mean?,there were more votes than voters!
1732,but that's impossible.,officials said that it's possible.
1733,did they explain how it's possible?,no. they said there are some things you can't explain.
1734,so are they going to hold another election?,no. that will cost too much money.
1735,so it's better to save money than to have an honest election?,"well, the democratic party says it was an honest election."
1736,of course they say thatÃ‚â€”their man won!,yes. he's telling jokes about his eight years as president.
1737,"yes, those eight years were a lot of fun for everyone.","only 4,000 american soldiers were killed overseas."
1738,"not to mention 40,000 wounded soldiers.",but bush visited some of them in the hospital once.
1739,that's nice that he found the time to make a visit.,he spoke to them and made them feel better.
1740,did he speak to every family that lost a soldier?,"no, he didn't have time to do that."
1741,"well, he's got plenty of time now!","no, he's too busy writing a book about how hard it was to be president."
1742,"yes, with the voter instructions.",how are you going to vote?
1743,"same as ever, by mail. all it costs me is a 42-cent stamp.","i meant, are you going to vote for or against the new taxes?"
1744,"against all of them, of course.","but we need new taxes to pay for highways, schools, and prisons."
1745,we've already voted for new taxes to pay for all that stuff!,that's true. where did that money go?
1746,our legislators spent it on first-class travel all over the world.,they are having a good time with our money.
1747,so when are we going to stop giving them more?,"do you mean on measures 1, 2, and 3?"
1748,"yes. the ones that will improve our schools, roads, and hospitals.",you mean the measures that will raise our taxes.
1749,but the tv ads say that our taxes will not increase.,do you believe the tv ads?
1750,i like the one where the fireman tells us why we should vote yes.,"don't believe him! whatever the tv ads tell you, the opposite is true."
1751,"but the title of measure 1 is ""better schools at no cost.""","the title should be ""better schools at huge cost."""
1752,i can't believe that they would lie to us.,of course they lieÃ‚â€”that's what politicians do!
1753,is it something you ate?,maybe. i'm not sure.
1754,what did you have for breakfast?,"the usual, cereal with milk and a banana."
1755,maybe the milk was bad.,it didn't smell bad.
1756,maybe the banana was bad.,"no, the banana was delicious."
1757,maybe you just need to go to the bathroom.,"no, that's not the problem."
1758,maybe it will go away in a little while.,i don't know.
1759,it looks like blood.,i think my nose was bleeding.
1760,you should wet your shirt immediately.,why?
1761,because that gets the blood out of the shirt.,what's a little blood?
1762,your white shirt is ruined.,"so, i'll just buy another one."
1763,you can wear this one around the house.,next time i'll soak it immediately.
1764,why do they hurt?,i type too much.
1765,you should take a break.,i need to type to make money.
1766,but typing is causing you pain.,maybe i should see a doctor.
1767,doctors are too expensive.,he might tell me to rest for a while.
1768,he might want to cut you open.,he might say i'm okay.
1769,he might say you have bone cancer.,he thinks i have too much stress.
1770,stress causes your stomachaches?,stress causes different problems with different people.
1771,so what did he tell you to do?,he said i need to think positive.
1772,he didn't give you any medication?,i hate medication. it makes me feel different.
1773,so how do you think positive?,i think about nice things.
1774,like what?,"like a day at the beach, with my toes in the sand."
1775,how did you do that?,it's a paper cut.
1776,paper can be dangerous.,"it hurts, too."
1777,paper cuts can hurt a lot.,where are the band-aids?
1778,i think they're in the medicine cabinet.,it's on the tip of my finger.
1779,a band-aid might not work.,i must not use this finger until the cut heals.
1780,it might take a day or two to heal.,"oh, yes."
1781,i can't stand cigarette smoke.,it smells so bad.
1782,one cigarette stinks up the whole sidewalk.,smokers think they are so cool.
1783,they are so weak.,a little cigarette controls them.
1784,they look so stupid taking a puff.,and then they blow smoke out of their mouth.
1785,they think it's cool.,cigarettes stink.
1786,"yes, i do.",how did you get it?
1787,my sister had a cold. she gave it to me.,have you taken anything for your cold?
1788,"no, i just blow my nose a lot.",your nose is stopped up?
1789,yes. i have to breathe through my mouth.,have you tried nose drops?
1790,"no, i don't like nose drops.",they work great.
1791,i don't care. i don't like to put drops in my nose.,sure.
1792,thank you.,you shouldn't lie in the sun for too long.
1793,i want to get a tan. i don't want to look so pale.,what's wrong with looking pale?
1794,people think you might be sick.,who thinks that?
1795,i don't know.,it's better to be pale than to have skin cancer.
1796,i know that.,so why are you arguing with me? don't lie in the sun too long!
1797,of course you can.,i don't have enough will power.
1798,of course you do.,i wish i had never started.
1799,so does every smoker.,i've tried to quit so many times.
1800,so has everyone else.,nothing seems to work.
1801,"all it takes is will power, and you have it.",then why can't i quit?
1802,you have to believe in yourself.,what did you do?
1803,i got out of my car.,that's it?
1804,i injured my back one time just by sneezing.,you should see a doctor.
1805,my doctor said i need surgery.,so?
1806,"so, forget it.",you don't have the money?
1807,i have no insurance.,maybe a back rub would help.
1808,three packs of what?,"cigarettes, of course."
1809,how can he do that?,"when he is almost finished with one cigarette, he uses it to light another."
1810,he's a chain smoker.,he's been a chain smoker for 30 years.
1811,that's unbelievable. can he still breathe?,"he can, but the people around him can't."
1812,how can he still be alive?,his doctor says his heart and lungs are strong and healthy.
1813,maybe i should start smoking.,it's such a chore.
1814,"brush, brush. spit, spit.",what did they do in the old days?
1815,they brushed with their fingers.,they also ate with their fingers!
1816,why do they call it the good old days?,maybe because they didn't have to brush and floss.
1817,who invented flossing?,"a dentist, i'm sure."
1818,i hate flossing more than brushing!,i can't wait till all my teeth fall out.
1819,this trail is hard to climb.,especially on a hot day like this.
1820,i can't believe we haven't seen any animals.,thank goodness! i don't want to see any wild animals.
1821,all we've seen so far is a couple of lizards.,"we're hiking to lose weight, not to see goats and bears."
1822,i bet i've lost a couple of pounds already.,all you've lost is some sweat.
1823,i haven't even lost one pound of fat?,"if you want to lose fat, you've got to do this hike every day."
1824,"okay, but let's hike in town. at least there are cats and dogs to see.",pimples suck.
1825,it seems like i get a new pimple almost every day.,maybe it's something in your diet.
1826,"no, i eat the same things day after day.",then maybe it's in your genes.
1827,you might be right.,do pimples run in your family?
1828,not that i've noticed.,"well, maybe it's from the pollution in the air."
1829,"whatever the cause, i hate seeing them on my face.","well, on the bright side, they're fun to pop."
1830,i don't believe anything i don't see with my own eyes.,you can't believe what you hear on tv or radio.
1831,you can't believe what you read in the newspapers.,everyone tells you a different story about the same thing.
1832,three different people will give you three different stories.,and the government will give you a fourth story.
1833,"yes, like the government says not to worry about the swine flu.",but the swine flu just killed 20 people in mexico.
1834,the government says we have nothing to worry about.,then why are some schools telling the kids to stay home?
1835,"the government says to wash our hands frequently, and we'll all be okay.",i wasn't picking my nose.
1836,what were you doing?,i was scratching my nose.
1837,i think i know the difference between picking and scratching.,"okay, mom, maybe i was picking it a little bit."
1838,use a tissue next time.,i didn't have a tissue.
1839,then wait till you find a tissue.,i couldn't wait. it was an emergency.
1840,"oh, really? maybe you should have called 911.",it wasn't that kind of emergency.
1841,"yes, it's covered with crud.",i'm going to clean it.
1842,don't use water on it!,i'll use a damp cloth.
1843,don't let water get into any of the cracks.,i'll squeeze the cloth so it's almost dry.
1844,don't rub the numbers off the remote.,i will rub gently but firmly.
1845,"do it quickly, please, so i can change channels during commercials.",i'll give it back to you in a couple of minutes.
1846,maybe we should put it in a plastic bag to keep it clean.,what's the matter?
1847,i was on a plane.,so?
1848,"so, every time the plane goes up, my ear starts to hurt.",that's no good.
1849,"sometimes the pain goes away, and sometimes it doesn't.",have you seen a doctor?
1850,i've been to two doctors.,and they couldn't fix your problem?
1851,they both said i have to live with it.,or you can stay off planes.
1852,did she get a nice job?,"she got an ""everything"" job!"
1853,what do you mean?,a team of doctors gave her a whole new face.
1854,why did they do that?,a mad dog bit most of her face off.
1855,"oh, that's terrible. what does she look like now?","her face is really fat, but they say the swelling will go down."
1856,and then will she look normal again?,i guess so.
1857,god bless modern medicine.,what's wrong with it?
1858,it aches most of the time.,what do you think it is?
1859,i don't know. i think it's old age.,"if it's old age, why don't both of your hands hurt?"
1860,that's a good question. maybe it's not old age.,are you right-handed?
1861,yes. all my life.,you're wearing out your right hand. stop using it so much.
1862,but i do all my writing with my right hand.,s
1863,????,???????? ??? ???? ??? 
